-BEGIN HEADER-,,,,,,,,,,
2020,3,5,7,21.72,13.79,0.2,97.02,103.33,100.05,2.85
2020,3,5,8,23.55,13.79,0.17,248.85,269.8,100.11,2.42
2020,3,5,9,26.53,13.12,0.07,437.99,456.95,100.17,2.37
2020,3,5,10,28.03,12.82,0.11,608.84,616.85,100.19,1.29
2020,3,5,11,28.63,12.57,0.11,646.64,720.17,100.12,1.18
2020,3,5,12,28.8,12.33,0.11,614.19,765.12,100.01,1.48
2020,3,5,13,28.81,12.02,0.11,447.08,649.17,99.9,1.45
2020,3,5,14,28.44,11.72,0.1,221.69,518.67,99.83,1.3
2020,3,5,15,27.76,11.6,0.07,198.51,367.52,99.8,1.75
2020,3,5,16,26.8,12.21,0.02,154.89,213.08,99.8,3.01
2020,3,5,17,24.51,13.67,0.01,70.65,68,99.83,4.89
2020,3,5,18,22.15,13.06,0,0,0,99.89,6.96
2020,3,5,19,21.44,12.7,0,0,0,99.99,7.86
2020,3,5,20,20.71,12.63,0,0,0,100.08,7.75
2020,3,5,21,19.94,12.57,0.01,0,0,100.13,7.3
2020,3,5,22,19.33,12.45,0.03,0,0,100.15,7.17
2020,3,5,23,18.98,12.45,0.05,0,0,100.14,7.37
2020,3,6,0,18.71,12.51,0.05,0,0,100.1,7.21
2020,3,6,1,18.44,12.63,0.01,0,0,100.04,6.77
2020,3,6,2,18.17,12.76,0.01,0,0,99.96,6.16
2020,3,6,3,18.24,12.94,0.01,0,0,99.92,5.2
2020,3,6,4,18.11,12.94,0.01,0,0,99.9,3.97
2020,3,6,5,18.05,12.88,0.01,0,0,99.95,3.1
2020,3,6,6,18.15,12.82,0.01,10.8,7.98,100.06,3.14
2020,3,6,7,20.15,13.31,0.01,104.95,113.35,100.18,2.62
2020,3,6,8,22.12,13.18,0.02,237.57,305.42,100.27,3.25
2020,3,6,9,24.42,12.76,0.05,371.21,493.05,100.31,3.79
2020,3,6,10,26.17,12.7,0.11,601.68,661.17,100.28,3.6
2020,3,6,11,27.42,12.88,0.16,731.26,769.52,100.2,3.21
2020,3,6,12,28.32,13.12,0.2,765.46,781.33,100.09,2.9
2020,3,6,13,28.77,13.31,0.25,715.75,737.73,100,2.71
2020,3,6,14,28.67,13.24,0.31,604.01,618.52,99.92,2.58
2020,3,6,15,28.56,13.18,0.24,389.4,393.5,99.88,2.31
2020,3,6,16,28.04,13.61,0.15,206.62,201.73,99.88,2.29
2020,3,6,17,25.99,15.2,0.12,86.19,83.05,99.92,3.81
2020,3,6,18,23.39,14.77,0.08,0,0,99.98,6.34
2020,3,6,19,22.87,14.59,0.06,0,0,100.07,7.73
2020,3,6,20,22.26,14.77,0.06,0,0,100.15,7.84
2020,3,6,21,21.66,14.89,0.03,0,0,100.2,7.39
2020,3,6,22,21.09,14.89,0.04,0,0,100.22,6.8
2020,3,6,23,20.49,14.77,0.04,0,0,100.17,6.15
2020,3,7,0,20.05,14.71,0.06,0,0,100.07,6.15
2020,3,7,1,19.77,14.59,0.12,0,0,100.02,6.2
2020,3,7,2,19.86,14.4,0.14,0,0,100.09,6.68
2020,3,7,3,19.55,13.98,0.12,0,0,100.09,6
2020,3,7,4,19.11,13.61,0.2,0,0,100.09,5.49
2020,3,7,5,18.82,13.37,0.45,0,0,100.14,4.74
2020,3,7,6,18.97,13.37,1.33,10.11,7.5,100.21,3.58
2020,3,7,7,20.68,14.04,2.7,81.59,98.23,100.3,2.59
2020,3,7,8,21.42,14.16,3.59,200.62,280.1,100.39,2.49
2020,3,7,9,23.3,13.85,1.75,383.75,465.38,100.41,3.95
2020,3,7,10,25.75,13.49,1.01,456.35,616.92,100.37,5.69
2020,3,7,11,27.44,13.73,1.07,417.62,746.2,100.26,6.61
2020,3,7,12,28.3,14.34,1.12,373.88,843.7,100.14,6.99
2020,3,7,13,29.03,14.83,0.92,612.84,781.83,100.02,7.55
2020,3,7,14,29.44,14.95,0.81,612.31,656.95,99.94,8.18
2020,3,7,15,29.19,15.08,0.7,486.39,482.02,99.9,7.69
2020,3,7,16,28.11,15.93,0.59,267.07,261.35,99.91,6.01
2020,3,7,17,26.3,17.27,0.66,85.65,81.85,99.94,4.25
2020,3,7,18,24.4,16.3,0.56,0,0,100.01,2.93
2020,3,7,19,23.77,15.93,0.48,0,0,100.1,2.02
2020,3,7,20,23.08,15.5,0.47,0,0,100.2,1.46
2020,3,7,21,22.3,15.14,0.46,0,0,100.24,1.06
2020,3,7,22,21.56,14.89,0.36,0,0,100.24,1.06
2020,3,7,23,20.96,14.65,0.29,0,0,100.22,1.55
2020,3,8,0,20.3,14.47,0.25,0,0,100.17,2.27
2020,3,8,1,19.69,14.22,0.2,0,0,100.11,2.88
2020,3,8,2,19.23,13.98,0.15,0,0,100.07,3.44
2020,3,8,3,18.88,13.73,0.07,0,0,100.06,3.84
2020,3,8,4,18.55,13.49,0.05,0,0,100.07,4.19
2020,3,8,5,18.26,13.24,0.05,0,0,100.14,4.57
2020,3,8,6,18.42,13.18,0.04,12.2,10.55,100.23,4.87
2020,3,8,7,20.23,13.67,0.03,120.21,144.1,100.32,4.16
2020,3,8,8,22.76,14.1,0.28,292.47,347.52,100.39,3.24
2020,3,8,9,25.85,13.73,0.11,451.16,552.62,100.42,3.38
2020,3,8,10,27.53,13.67,0.1,537.12,715.55,100.4,3.57
2020,3,8,11,28.51,13.55,0.08,626.06,813.33,100.31,3.58
2020,3,8,12,29.19,13.24,0.06,839.94,852.33,100.19,3.69
2020,3,8,13,29.52,12.82,0.04,717.81,792.27,100.07,3.87
2020,3,8,14,29.53,12.33,0.02,636.52,645.95,99.96,3.99
2020,3,8,15,29.37,11.84,0.01,421.96,418.1,99.9,3.88
2020,3,8,16,28.67,12.08,0,244.98,239.95,99.9,3.66
2020,3,8,17,26.57,14.04,0,75.01,71.85,99.93,3.31
2020,3,8,18,24.47,12.39,0,0,0,100.01,3.02
2020,3,8,19,23.4,11.9,0,0,0,100.1,3.24
2020,3,8,20,22.39,11.84,0,0,0,100.18,3.62
2020,3,8,21,21.21,11.47,0.01,0,0,100.22,4.06
2020,3,8,22,19.95,11.23,0,0,0,100.21,4.45
2020,3,8,23,18.76,10.99,0,0,0,100.17,4.72
2020,3,9,0,17.8,10.68,0,0,0,100.11,4.84
2020,3,9,1,17.02,10.38,0,0,0,100.04,4.97
2020,3,9,2,16.37,10.07,0,0,0,99.99,5.27
2020,3,9,3,15.8,9.83,0,0,0,99.97,5.73
2020,3,9,4,15.3,9.64,0,0,0,99.99,6.21
2020,3,9,5,14.83,9.34,0,0,0,100.05,6.6
2020,3,9,6,14.83,9.09,0,11.48,11.05,100.14,6.7
2020,3,9,7,17.18,8.97,0,125.59,143.3,100.22,5.43
2020,3,9,8,19.88,9.52,0,320.45,349.7,100.3,3.84
2020,3,9,9,24.25,9.09,0,564.05,558.67,100.34,3.65
2020,3,9,10,26.66,8.97,0,733.23,735.77,100.33,3.55
2020,3,9,11,27.83,9.22,0,840.67,845.7,100.25,3.62
2020,3,9,12,28.62,9.22,0,914.84,918,100.15,3.93
2020,3,9,13,29.06,9.03,0,859.68,863.2,100.06,4.23
2020,3,9,14,29.23,8.79,0,738.05,737.23,99.96,4.38
2020,3,9,15,28.95,8.54,0,555.2,549.45,99.9,4.34
2020,3,9,16,28.19,8.97,0,329.16,322.5,99.87,4.23
2020,3,9,17,25.26,11.47,0,113.55,109.9,99.88,3.97
2020,3,9,18,22.33,10.07,0,0,0,99.92,3.92
2020,3,9,19,21.22,9.64,0,0,0,99.99,4.04
2020,3,9,20,20.24,9.34,0,0,0,100.05,4.12
2020,3,9,21,19.56,9.03,0,0,0,100.1,3.93
2020,3,9,22,18.99,8.79,0,0,0,100.11,3.62
2020,3,9,23,18.32,8.54,0,0,0,100.09,3.32
2020,3,10,0,17.67,8.36,0,0,0,100.05,2.99
2020,3,10,1,16.98,8.24,0,0,0,100,2.86
2020,3,10,2,16.13,8.12,0,0,0,99.97,3.05
2020,3,10,3,15.33,8.06,0,0,0,99.95,3.28
2020,3,10,4,14.63,7.93,0,0,0,99.98,3.42
2020,3,10,5,14.08,7.81,0,0,0,100.05,3.47
2020,3,10,6,14.06,8.06,0,11.43,13.3,100.15,3.46
2020,3,10,7,17.37,8.42,0,136.28,173.38,100.25,3.04
2020,3,10,8,19.87,8.67,0,337.98,403.23,100.35,2.19
2020,3,10,9,23.91,8.48,0,560.33,618.48,100.41,1.14
2020,3,10,10,27.3,8.12,0,787.53,789.67,100.4,1.35
2020,3,10,11,28.51,8.67,0,881.23,886.58,100.33,1.68
2020,3,10,12,29.13,9.16,0,876.18,878.7,100.22,1.93
2020,3,10,13,29.45,9.52,0,818.82,822.73,100.09,2.04
2020,3,10,14,29.4,9.77,0,688.03,692.27,99.99,1.99
2020,3,10,15,29.02,9.95,0,505.88,505.73,99.93,1.98
2020,3,10,16,28.26,10.44,0,284.22,285.75,99.89,1.91
2020,3,10,17,26.41,12.02,0,88.2,91,99.89,1.84
2020,3,10,18,24.5,10.86,0,0,0,99.93,1.9
2020,3,10,19,23.78,10.56,0,0,0,99.99,1.79
2020,3,10,20,22.83,10.62,0,0,0,100.06,2.06
2020,3,10,21,21.42,11.05,0,0,0,100.11,2.9
2020,3,10,22,20.33,11.35,0,0,0,100.12,3.63
2020,3,10,23,19.53,11.72,0,0,0,100.11,3.91
2020,3,11,0,18.91,12.21,0,0,0,100.07,3.7
2020,3,11,1,18.45,12.45,0,0,0,100.04,3.35
2020,3,11,2,18.05,12.33,0,0,0,100,3.28
2020,3,11,3,17.76,12.02,0,0,0,99.95,3.26
2020,3,11,4,17.71,11.66,0,0,0,99.94,2.81
2020,3,11,5,17.73,11.35,0,0,0,99.97,2.38
2020,3,11,6,17.6,11.41,0,10.69,11.7,100.06,2.64
2020,3,11,7,20.07,11.96,0,122.35,139.45,100.18,2.7
2020,3,11,8,22.82,12.08,0,330.99,324.02,100.29,1.82
2020,3,11,9,26.11,11.66,0,522.23,540.67,100.34,1.89
2020,3,11,10,27.72,11.96,0,682.77,702.58,100.31,1.93
2020,3,11,11,28.93,12.39,0.03,774.18,801.33,100.23,1.96
2020,3,11,12,29.82,12.82,0.08,565.48,770.55,100.11,1.48
2020,3,11,13,30.33,13.12,0.16,393.54,716.4,99.99,0.86
2020,3,11,14,30.36,13.31,0.28,218.66,592.6,99.88,0.5
2020,3,11,15,29.74,13.61,0.29,176.04,428.75,99.83,1.44
2020,3,11,16,28.81,14.59,0.2,95.86,232.88,99.83,2.97
2020,3,11,17,26.67,15.81,0.15,36.36,71.1,99.84,4.32
2020,3,11,18,24.19,15.32,0.06,0,0,99.91,5.44
2020,3,11,19,23.37,14.95,0.03,0,0,100,5.62
2020,3,11,20,22.69,14.77,0.02,0,0,100.1,5.41
2020,3,11,21,22.16,14.71,0,0,0,100.14,4.84
2020,3,11,22,21.72,14.71,0,0,0,100.16,4.35
2020,3,11,23,21.28,14.83,0,0,0,100.15,4.08
2020,3,12,0,20.89,14.95,0,0,0,100.12,3.85
2020,3,12,1,20.58,15.14,0,0,0,100.08,3.56
2020,3,12,2,20.33,15.14,0,0,0,100.03,3.36
2020,3,12,3,20.05,15.08,0,0,0,100,3.43
2020,3,12,4,19.76,14.89,0,0,0,100,3.61
2020,3,12,5,19.49,14.65,0,0,0,100.04,3.83
2020,3,12,6,19.79,14.53,0,10.73,9.92,100.13,4.06
2020,3,12,7,21.94,14.83,0,104.62,109.92,100.24,3.45
2020,3,12,8,24.34,15.38,0.03,222.73,278.25,100.34,2.95
2020,3,12,9,27.53,15.5,0.1,349.15,472.77,100.39,2.51
2020,3,12,10,29.72,15.32,0.17,594.88,640.62,100.37,1.84
2020,3,12,11,30.97,15.2,0.18,644.91,750.5,100.3,1.37
2020,3,12,12,31.7,15.01,0.18,704.99,763.17,100.18,1.03
2020,3,12,13,32.01,14.71,0.17,623.35,717.85,100.07,0.99
2020,3,12,14,31.98,14.34,0.18,305.3,610.55,99.97,1.08
2020,3,12,15,31.58,14.1,0.17,83.87,440.17,99.94,0.72
2020,3,12,16,30.97,14.59,0.12,51.66,245.5,99.96,0.4
2020,3,12,17,29.33,16.24,0.16,33.19,77.55,100.02,1.27
2020,3,12,18,26.97,16.78,0.16,0,0,100.12,2.3
2020,3,12,19,25.98,16.42,0.15,0,0,100.23,2.5
2020,3,12,20,25.34,15.93,0.08,0,0,100.33,2.07
2020,3,12,21,24.97,15.2,0.02,0,0,100.36,1.25
2020,3,12,22,24.65,14.71,0,0,0,100.33,0.39
2020,3,12,23,23.98,14.59,0,0,0,100.27,0.87
2020,3,13,0,23.05,14.65,0,0,0,100.19,1.58
2020,3,13,1,22.13,14.53,0,0,0,100.12,2.19
2020,3,13,2,21.18,14.34,0.01,0,0,100.08,2.92
2020,3,13,3,20.51,13.98,0.01,0,0,100.07,3.65
2020,3,13,4,20.08,13.67,0.01,0,0,100.11,4.09
2020,3,13,5,19.73,13.37,0.01,0,0,100.19,4.19
2020,3,13,6,19.94,13.49,0.01,14.8,12.73,100.29,3.77
2020,3,13,7,21.99,13.73,0.01,140.61,141.3,100.38,2.56
2020,3,13,8,24.23,14.34,0.06,331.49,337.85,100.45,1.32
2020,3,13,9,27.78,14.89,0,538.7,542.4,100.49,2.56
2020,3,13,10,29.61,15.32,0,676.01,707.88,100.47,2.9
2020,3,13,11,30.72,15.62,0,804.35,815.7,100.41,2.83
2020,3,13,12,31.49,15.87,0,839.52,845.95,100.3,2.77
2020,3,13,13,31.82,15.93,0,791.15,795.75,100.17,2.85
2020,3,13,14,31.76,15.87,0,667.8,670,100.08,2.75
2020,3,13,15,31.33,15.81,0,492.84,488.55,100.03,2.58
2020,3,13,16,30.51,15.87,0,257.71,274.77,100.03,2.54
2020,3,13,17,28.77,17.46,0,85.95,89.38,100.06,2.71
2020,3,13,18,26.55,17.4,0,0,0,100.13,3.04
2020,3,13,19,25.97,17.03,0,0,0,100.22,3.1
2020,3,13,20,25.56,16.78,0,0,0,100.31,2.89
2020,3,13,21,25.18,16.36,0,0,0,100.36,2.45
2020,3,13,22,24.77,15.87,0,0,0,100.35,2.03
2020,3,13,23,24.54,15.62,0,0,0,100.3,1.6
2020,3,14,0,24.24,15.44,0,0,0,100.22,1.2
2020,3,14,1,23.74,15.26,0,0,0,100.13,1.07
2020,3,14,2,23.18,15.01,0,0,0,100.05,1.03
2020,3,14,3,22.87,14.89,0,0,0,100.04,0.34
2020,3,14,4,22.25,14.83,0,0,0,100.08,0.86
2020,3,14,5,21.33,14.77,0,0,0,100.14,1.92
2020,3,14,6,21.01,14.89,0,15.88,13.5,100.21,2.79
2020,3,14,7,23.07,15.2,0,115.34,145.5,100.26,3.01
2020,3,14,8,25.85,15.38,0,259.97,343.73,100.31,3.68
2020,3,14,9,28.29,15.2,0.01,433.09,549.08,100.32,4.46
2020,3,14,10,29.79,15.08,0,568.09,724.35,100.29,4.78
2020,3,14,11,30.81,15.01,0,673,824.25,100.21,4.73
2020,3,14,12,31.41,14.95,0.01,740.82,897.05,100.11,4.27
2020,3,14,13,31.55,14.77,0.05,745.1,841.92,100.02,3.68
2020,3,14,14,31.21,14.53,0.09,568.16,716.25,99.94,3.1
2020,3,14,15,30.47,14.59,0.15,373.41,528.77,99.91,2.51
2020,3,14,16,29.33,15.08,0.21,209.02,304.92,99.93,2.47
2020,3,14,17,27.39,16.42,0.28,59.61,99.52,99.99,3.55
2020,3,14,18,24.98,16.36,0.18,0,0,100.07,5.77
2020,3,14,19,24.01,15.5,0.05,0,0,100.16,7.25
2020,3,14,20,22.77,14.77,0.02,0,0,100.27,7.47
2020,3,14,21,21.49,14.1,0.01,0,0,100.36,6.66
2020,3,14,22,20.56,13.49,0.01,0,0,100.4,5.58
2020,3,14,23,19.96,13.12,0,0,0,100.38,4.56
2020,3,15,0,19.54,12.94,0,0,0,100.32,3.84
2020,3,15,1,19.09,12.82,0.09,0,0,100.24,3.65
2020,3,15,2,18.75,12.7,0.09,0,0,100.17,3.98
2020,3,15,3,18.52,12.57,0.09,0,0,100.13,4.62
2020,3,15,4,18.43,12.45,0,0,0,100.13,5.04
2020,3,15,5,18.28,12.39,0.02,0,0,100.17,4.92
2020,3,15,6,18.41,12.39,0.39,16.84,15.7,100.23,4.43
2020,3,15,7,19.92,12.57,0.23,127.76,164.88,100.31,3.79
2020,3,15,8,22.4,12.45,0.1,281.24,378.35,100.41,4.23
2020,3,15,9,24.57,12.45,0,490.69,588.8,100.46,4.29
2020,3,15,10,26.01,12.88,0,657.12,753.38,100.46,3.75
2020,3,15,11,26.87,13.24,0,726.8,854.3,100.41,3.08
2020,3,15,12,27.58,13.55,0,906.38,918.67,100.32,2.8
2020,3,15,13,28.09,13.73,0,826.44,860.75,100.22,3.28
2020,3,15,14,28.05,13.73,0,677.95,731.83,100.13,3.75
2020,3,15,15,27.48,13.61,0,522.8,543.45,100.07,3.86
2020,3,15,16,26.61,13.67,0,302.82,317.3,100.07,4.32
2020,3,15,17,24.96,14.16,0,110.08,107.33,100.1,5.13
2020,3,15,18,22.8,14.22,0,0,0,100.15,5.82
2020,3,15,19,21.99,13.92,0,0,0,100.2,5.56
2020,3,15,20,21.46,13.73,0,0,0,100.24,4.83
2020,3,15,21,21.12,13.61,0,0,0,100.24,4
2020,3,15,22,20.83,13.55,0,0,0,100.23,3.19
2020,3,15,23,20.7,13.31,0,0,0,100.21,2.37
2020,3,16,0,20.62,12.88,0,0,0,100.2,1.73
2020,3,16,1,20.5,12.82,0,0,0,100.15,1.59
2020,3,16,2,20.19,12.7,0,0,0,100.09,1.73
2020,3,16,3,19.8,12.94,0,0,0,100.06,2.67
2020,3,16,4,19.81,13.18,0.01,0,0,100.07,3.46
2020,3,16,5,19.86,13.18,0.02,0,0,100.14,4.3
2020,3,16,6,20.07,13.24,0.02,18.15,16.35,100.25,4.8
2020,3,16,7,21.19,13.24,0.02,135.06,161.55,100.35,4.11
2020,3,16,8,22.83,13.55,0.01,304.44,373.77,100.46,2.94
2020,3,16,9,25.67,13.67,0,483.8,581.08,100.49,2.19
2020,3,16,10,27.95,13.85,0,681.11,744.33,100.46,1.69
2020,3,16,11,29.25,14.04,0,793.4,843.8,100.39,1.52
2020,3,16,12,29.97,14.04,0,737.16,836.7,100.3,1.88
2020,3,16,13,30.43,13.85,0,668.83,779.55,100.2,2.34
2020,3,16,14,30.48,13.55,0,558.68,651.02,100.12,2.49
2020,3,16,15,30.12,13.31,0,434.89,467.58,100.08,2.3
2020,3,16,16,29.37,13.73,0,231.27,258.08,100.08,2.16
2020,3,16,17,27.61,15.62,0,79.31,84.15,100.11,2.5
2020,3,16,18,25.8,15.32,0,0,0,100.15,3.54
2020,3,16,19,25.01,15.08,0,0,0,100.23,3.81
2020,3,16,20,24.19,14.65,0,0,0,100.31,3.58
2020,3,16,21,23.37,14.28,0,0,0,100.35,2.99
2020,3,16,22,22.44,13.85,0,0,0,100.32,2.67
2020,3,16,23,22.23,13.49,0,0,0,100.31,1.79
2020,3,17,0,21.56,13.31,0,0,0,100.29,2.68
2020,3,17,1,20.44,13.12,0,0,0,100.27,4.02
2020,3,17,2,19.42,12.51,0,0,0,100.23,4.63
2020,3,17,3,18.73,12.02,0,0,0,100.24,4.88
2020,3,17,4,18.19,11.6,0,0,0,100.25,4.59
2020,3,17,5,17.7,11.23,0,0,0,100.3,4.38
2020,3,17,6,17.9,11.17,0,16.43,14.83,100.38,4.48
2020,3,17,7,20.14,10.8,0,123.74,136.17,100.47,3.83
2020,3,17,8,22.82,11.17,0,273.48,323.75,100.52,2.28
2020,3,17,9,26.48,10.74,0,484.33,484.85,100.55,0.82
2020,3,17,10,28.23,11.11,0,673.48,675.6,100.53,0.41
2020,3,17,11,29.44,11.35,0,772.04,778.67,100.48,0.87
2020,3,17,12,30.21,11.41,0,731.59,743.5,100.39,1.18
2020,3,17,13,30.58,11.35,0,673.23,683.02,100.3,1.38
2020,3,17,14,30.65,11.29,0,557.41,562.45,100.23,1.37
2020,3,17,15,30.46,11.23,0,394.23,388.85,100.18,1.37
2020,3,17,16,29.78,11.66,0,212.69,206.62,100.17,1.46
2020,3,17,17,28.16,13.37,0,98.14,93.38,100.18,1.85
2020,3,17,18,25.66,13,0,0,0,100.21,2.8
2020,3,17,19,24.51,12.94,0,0,0,100.25,3.3
2020,3,17,20,23.74,12.88,0,0,0,100.3,3.24
2020,3,17,21,23.38,12.57,0,0,0,100.33,2.62
2020,3,17,22,23.3,12.39,0,0,0,100.33,1.58
2020,3,17,23,22.68,12.08,0,0,0,100.32,0.45
2020,3,18,0,21.29,12.27,0,0,0,100.28,1.31
2020,3,18,1,19.96,12.27,0,0,0,100.25,2.5
2020,3,18,2,19.08,12.08,0,0,0,100.21,3.38
2020,3,18,3,18.4,11.66,0,0,0,100.17,4.09
2020,3,18,4,17.86,11.29,0,0,0,100.17,4.53
2020,3,18,5,17.37,10.93,0,0,0,100.22,4.7
2020,3,18,6,17.61,10.99,0,18.22,15.65,100.3,4.66
2020,3,18,7,20.29,10.74,0,134.69,142.67,100.39,3.86
2020,3,18,8,23.01,11.11,0,323.74,335.55,100.45,2.54
2020,3,18,9,27.09,10.38,0,533.8,536.7,100.47,1.32
2020,3,18,10,29,10.68,0,666.8,699.17,100.44,0.99
2020,3,18,11,30.23,10.86,0,766.43,798.3,100.37,1.25
2020,3,18,12,30.95,10.86,0,754.29,780.8,100.26,1.53
2020,3,18,13,31.37,10.74,0,672.81,727.4,100.14,1.78
2020,3,18,14,31.44,10.56,0,585.87,604.83,100.06,1.98
2020,3,18,15,31.11,10.44,0,435.31,430.77,100,2.38
2020,3,18,16,30.26,10.99,0,241.55,236.9,99.97,2.95
2020,3,18,17,27.96,13.18,0,83.27,79.1,99.97,3.44
2020,3,18,18,25.01,12.39,0,0,0,99.99,3.84
2020,3,18,19,23.99,11.96,0,0,0,100.05,3.65
2020,3,18,20,23.26,11.6,0,0,0,100.12,3.34
2020,3,18,21,22.8,11.17,0,0,0,100.16,3.05
2020,3,18,22,22.08,10.86,0,0,0,100.16,2.79
2020,3,18,23,21.26,10.68,0,0,0,100.14,2.73
2020,3,19,0,20.43,10.68,0,0,0,100.11,2.87
2020,3,19,1,19.55,10.68,0,0,0,100.06,3.22
2020,3,19,2,18.58,10.38,0,0,0,100.02,3.78
2020,3,19,3,17.85,10.13,0,0,0,99.99,4.3
2020,3,19,4,17.26,9.95,0,0,0,99.99,4.68
2020,3,19,5,16.76,9.77,0,0,0,100.04,5.02
2020,3,19,6,17.11,9.95,0,18.14,17.5,100.11,5.26
2020,3,19,7,20.69,9.89,0,129.6,154.75,100.2,4.6
2020,3,19,8,23.44,10.38,0,290.17,356.65,100.28,3.11
2020,3,19,9,27.59,9.95,0,494.87,567.2,100.31,1.89
2020,3,19,10,30.26,9.09,0,643.77,727.92,100.29,2.31
2020,3,19,11,31.44,9.16,0.02,754.48,822.1,100.22,2.62
2020,3,19,12,32.05,9.16,0.06,742.38,853.67,100.1,2.65
2020,3,19,13,32.36,9.09,0.15,743.51,792.67,99.96,2.49
2020,3,19,14,32.26,9.09,0.32,560.88,661.38,99.85,2.2
2020,3,19,15,31.74,9.09,0.19,378.09,482.9,99.8,1.79
2020,3,19,16,31.11,9.28,0.03,220.07,264.23,99.82,1.23
2020,3,19,17,28.83,11.72,0,79.35,88.17,99.85,1.3
2020,3,19,18,26.1,11.9,0,0,0,99.87,2.76
2020,3,19,19,24.26,11.72,0,0,0,99.94,3.7
2020,3,19,20,22.89,11.41,0,0,0,100.03,4.08
2020,3,19,21,21.79,11.41,0,0,0,100.1,4.36
2020,3,19,22,20.75,11.6,0,0,0,100.12,5.09
2020,3,19,23,20.04,11.84,0,0,0,100.11,5.8
2020,3,20,0,19.59,12.21,0,0,0,100.07,6.11
2020,3,20,1,19.26,12.45,0.01,0,0,100.01,6.01
2020,3,20,2,18.96,12.51,0.02,0,0,99.96,5.61
2020,3,20,3,18.78,12.21,0.06,0,0,99.93,5.39
2020,3,20,4,18.55,11.6,0.18,0,0,99.94,5.61
2020,3,20,5,18.28,10.99,1.17,0,0,100,6.43
2020,3,20,6,18.42,10.68,3.58,19.98,17.12,100.09,7.24
2020,3,20,7,20.06,10.99,3.19,146.95,142.7,100.19,6.8
2020,3,20,8,21.67,11.23,2.07,336.1,331.3,100.28,5.12
2020,3,20,9,24.65,11.41,0,524.73,531,100.3,4.29
2020,3,20,10,28,10.13,0,678.64,693.98,100.28,5.27
2020,3,20,11,29.46,10.31,0,754.71,795.17,100.2,5.67
2020,3,20,12,30.59,10.62,0,889.12,909.75,100.07,5.54
2020,3,20,13,31.26,10.56,0,851.37,858.62,99.93,5.3
2020,3,20,14,31.43,10.07,0,704.74,733.2,99.81,5.21
2020,3,20,15,31.07,9.52,0,557.14,552.3,99.76,5.05
2020,3,20,16,30.15,10.07,0,340.78,334.52,99.75,4.72
2020,3,20,17,27.8,13.31,0,112.07,110.1,99.76,3.84
2020,3,20,18,26.4,12.39,0,7.27,3.23,99.79,2.68
2020,3,20,19,26.53,11.41,0,0,0,99.84,1.95
2020,3,20,20,26.3,10.8,0,0,0,99.92,1.43
2020,3,20,21,25.88,9.83,0,0,0,99.95,0.71
2020,3,20,22,24.89,9.64,0,0,0,99.96,0.31
2020,3,20,23,23.55,10.13,0,0,0,99.96,1.4
2020,3,21,0,22.01,10.5,0,0,0,99.93,2.39
2020,3,21,1,20.78,10.86,0,0,0,99.9,3.1
2020,3,21,2,20.12,11.05,0,0,0,99.85,3.44
2020,3,21,3,19.87,11.05,0,0,0,99.83,3.41
2020,3,21,4,19.6,11.11,0,0,0,99.85,3.55
2020,3,21,5,19.23,11.17,0,0,0,99.92,3.96
2020,3,21,6,19.28,11.47,0,24.41,24.1,100.01,4.55
2020,3,21,7,21.69,11.41,0,180.35,197.08,100.13,4.48
2020,3,21,8,24.18,11.6,0,394.72,421.3,100.24,3.64
2020,3,21,9,28.48,10.74,0,608.58,632.27,100.29,4.03
2020,3,21,10,30.61,10.62,0,765.98,795.67,100.26,3.35
2020,3,21,11,31.56,10.68,0,837.87,892.6,100.19,2.65
2020,3,21,12,32.13,10.68,0,863.74,896.42,100.08,2.28
2020,3,21,13,32.54,10.74,0,791.73,841.12,99.96,1.95
2020,3,21,14,32.53,10.62,0,662.67,714.48,99.86,1.61
2020,3,21,15,31.9,10.62,0,486.33,530,99.81,1.05
2020,3,21,16,31.19,10.8,0,271.61,310.7,99.79,0.49
2020,3,21,17,29.19,13.67,0,89.48,102.55,99.8,1.39
2020,3,21,18,26.48,14.47,0.01,6.23,3.12,99.85,3
2020,3,21,19,25.27,14.04,0.02,0,0,99.94,3.95
2020,3,21,20,24.33,13.98,0.09,0,0,100.03,4.59
2020,3,21,21,23.46,14.34,0.41,0,0,100.09,4.72
2020,3,21,22,22.65,14.59,1.02,0,0,100.09,4.39
2020,3,21,23,21.82,14.28,0.93,0,0,100.06,3.59
2020,3,22,0,21.44,13.73,0.72,0,0,100.01,2.55
2020,3,22,1,20.91,13.31,0.42,0,0,99.96,1.78
2020,3,22,2,19.98,12.94,0.06,0,0,99.92,2.42
2020,3,22,3,19.26,12.51,0.01,0,0,99.9,3.36
2020,3,22,4,18.9,12.21,0,0,0,99.93,3.54
2020,3,22,5,18.66,12.02,0,0,0,100.01,3.26
2020,3,22,6,19.27,12.45,0,20.87,21.5,100.12,2.77
2020,3,22,7,20.97,12.21,0.01,160.67,168.83,100.23,1.85
2020,3,22,8,22.49,12.51,0.01,325.1,374.85,100.32,0.75
2020,3,22,9,25.17,12.27,0,527.38,594.92,100.34,0.69
2020,3,22,10,27.82,11.41,0,649.58,765.77,100.33,0.41
2020,3,22,11,29.39,11.29,0,849.14,865.33,100.25,0.32
2020,3,22,12,30.09,11.29,0,904.95,923.35,100.14,1.07
